req_no	thread_id	answer_title	answer_author	work_id	work_title	work_author	readinglog_count	first_publish_year
0	13195	Lovey: A Very Special Child	Mary MacCracken	https://openlibrary.org/works/OL5262888W	Lovey	Mary MacCracken	4	1977.0
1	14207	Clone Catcher	Alfred Slote	https://openlibrary.org/works/OL15926986W	Clone catcher	Alfred Slote	9	1982.0
2	37787	The Hite Report: A Nationwide Study of Female Sexuality		https://openlibrary.org/works/OL2815101W	Hite Report Women & Love	Shere Hite	34	1976.0
5	160509	Against Incredible Odds	Arthur Roth	https://openlibrary.org/works/OL16478118W	Against incredible odds		0	1983.0
6	178121	Donbas: A True Story of an Escape Across Russia	Jacques Sandulescu	https://openlibrary.org/works/OL7003295W	Donbas	Jacques Sandulescu	2	1968.0
7	205189	Savage Inequalities: Children in America's Schools	Jonathan Kozol	https://openlibrary.org/works/OL17734181W	Savage inequalities	Jonathan Kozol	7	1991.0
8	551613	A family likeness	Barbara Ker Wilson	https://openlibrary.org/works/OL31368480W	A family likeness;	Barbara Ker Wilson	0	1967.0
9	566918	A Time to Love, A Time to Mourn		https://openlibrary.org/works/OL6558819W	A Time to Love, a Time to Mourn	Paige Dixon	1	1982.0
10	794360	House divided: the life and legacy of Martin Luther King	Lionel Lokos	https://openlibrary.org/works/OL6831307W	House divided	Lionel Lokos	0	1968.0
11	811897	Astra and Flondrix	Seamus Cullen	https://openlibrary.org/works/OL5794484W	Astra and Flondrix	Seamus Cullen	1	1976.0
12	826375	P.J. My Friend	Noel Bertram Gerson				0	
13	889020	The Sex Lives of Cannibals: Adrift in the Equatorial Pacific	J. Maarten Troost	https://openlibrary.org/works/OL5724713W	The Sex Lives of Cannibals	J. Maarten Troost	31	2004.0
15	1008958	All on Account of You: A True WWII Love Story	Elaine Luddy Klonicki	https://openlibrary.org/works/OL8815402W	All on Account of You	Elaine, Luddy Klonicki	0	2007.0
16	1099858	One Child: The True Story of a Tormented Six-Year-Old and the Brilliant Teacher Who Reached Out	Torey L. Hayden				0	
17	1136789	The Owl and The Woodpecker	Brian Wildsmith solved by OP	https://openlibrary.org/works/OL1704009W	The Owl and the Woodpecker	Brian Wildsmith	9	1971.0
18	1227460	Quest of the Snow Leopard	Roy Chapman Andrews	https://openlibrary.org/works/OL6833943W	Quest of the snow leopard	Roy Chapman Andrews	1	1955.0
19	1316281	Unveiling Claudia		https://openlibrary.org/works/OL515762W	Unveiling Claudia	Daniel Keyes	10	1986.0
20	1324583	Too Much Magic: Wishful Thinking, Technology, and the Fate of the Nation	James Howard Kunstler	https://openlibrary.org/works/OL17826708W	Too much magic	James Howard Kunstler	4	2012.0
21	1457836	Carolina's Courage	Elizabeth Yates aka Carolina and the Indian doll	https://openlibrary.org/works/OL18422W	Carolina's courage	Elizabeth Yates	3	1964.0
22	1470325	Brain Wave	Poul Anderson	https://openlibrary.org/works/OL90570W	Brainwave	Poul Anderson; Tom Weiner	23	1954.0
24	1498928	The Nursery		https://openlibrary.org/works/OL151381W	The Nursery Alice	Lewis Carroll	28	1889.0
25	1549270	One Child: The True Story of a Tormented Six-Year-Old and the Brilliant Teacher Who Reached Out	Torey L. Hayden				0	
26	1586369	Rendezvous with Rama		https://openlibrary.org/works/OL17417W	Rendezvous with Rama	Arthur C. Clarke	488	1900.0
27	1608946	Reviving Ophelia: Saving the Selves of Adolescent Girls	Mary Pipher	https://openlibrary.org/works/OL8990895W	Reviving Ophelia	Mary  Pipher	9	2005.0
